id,full_name,employment_status_code,ethnicity,gender,city,state,company,employee_number,original_hire,last_hire,seniority_date,seniority_years,termination_date,termination_reason,termination_reason_code,termination_type,effective_date,job,job_change,reason,employment_type,job_family,org_level_1,org_level_2,org_level_2_manager_first_mi_last_suffix,supervisor_name_unsecured,work_location,location
1001,Brandon George,A,Hispanic,Female,Davidport,WA,MKN,4397,2022-12-03,2022-12-11,2022-12-03,2.0,,,,,2023-07-26,Hydrologist,False,,Contractor,Product,Springline,Product Dept,Brandon Wheeler,Stephanie Hayden,Headquarters,"Davidport, WA"
1002,Thomas Morrow,T,Asian,Male,Lake Reneeton,NY,MKN,6340,2016-09-18,2017-04-16,2016-09-18,8.0,2019-12-07,Resigned,TRC617,Voluntary,2017-05-31,Statistician,False,,Contractor,Engineering,Springline,Sales Dept,Crystal Adkins,Abigail Freeman,Remote,"Lake Reneeton, NY"
1003,Holly Thomas,T,Hispanic,Non-Binary,Lake Stephanie,WA,MKN,3004,2018-05-08,2018-07-20,2018-05-08,6.0,2022-10-27,Contract Ended,TRC189,Involuntary,2018-09-21,Hydrologist,False,,Intern,Engineering,Springline,Sales Dept,Andrew Hall,Carolyn Herring,Remote,"Lake Stephanie, WA"
1004,Deanna Orr,T,White,Male,Johnfort,TX,MKN,1862,2017-12-07,2017-12-25,2017-12-07,7.0,2019-05-04,Laid Off,TRC463,Transfer,2018-06-01,"Designer, multimedia",False,,Contractor,Engineering,Springline,Sales Dept,Trevor Williams,Leslie Nichols,Regional Office,"Johnfort, TX"
1005,Tyler Robinson,A,Asian,Male,East Charles,TX,MKN,9555,2023-07-22,2023-09-29,2023-07-22,1.0,,,,,2023-11-27,Television/film/video producer,False,,Full-Time,Sales,Springline,Finance,George Rogers,Lori Harding,Remote,"East Charles, TX"
1006,Thomas Henderson,T,White,Female,Brianfort,FL,Springline,3006,2015-06-13,2015-06-27,2015-06-13,9.0,2017-11-25,Contract Ended,TRC453,Voluntary,2016-04-27,Radio producer,False,,Full-Time,Product,Springline,Sales Dept,Scott Mays,Paul Lee,Remote,"Brianfort, FL"
1007,Katie Spence MD,T,Asian,Male,Shannonfort,TX,Springline,7308,2015-08-28,2016-05-12,2015-08-28,9.0,2019-06-28,Resigned,TRC429,Transfer,2016-08-09,Retail banker,False,,Full-Time,Sales,Springline,Audit,Jill Hodges,Dr. Justin Norris,Remote,"Shannonfort, TX"
1008,Pamela Patel,A,White,Non-Binary,Reedbury,TX,MKN,2142,2022-05-19,2022-09-28,2022-05-19,2.0,,,,,2023-01-06,"Designer, textile",False,Message glass figure material media hair wall.,Full-Time,Profesional,Springline,Sales Dept,Mathew Johnson,Nicole Sweeney,Remote,"Reedbury, TX"
1009,Terri Hodges,A,Asian,Male,North Gregory,WA,Springline,5921,2016-11-20,2016-11-25,2016-11-20,8.0,,,,,2017-02-01,"Sales professional, IT",False,Describe house heavy child.,Contractor,Engineering,Springline,Product Dept,Christopher Young,Rodney Cardenas,Headquarters,"North Gregory, WA"
1010,Dr. Christopher Brady,T,White,Male,North Caitlinburgh,CA,Springline,4625,2020-09-13,2021-03-06,2020-09-13,4.0,2021-09-03,Retired,TRC170,Transfer,2021-06-16,Child psychotherapist,False,Nice student him scene.,Contractor,Engineering,Springline,Product Dept,Edward Vincent,Nichole Collins,Regional Office,"North Caitlinburgh, CA"
1011,Rachel Rodriguez,A,Asian,Male,Johnview,WA,MKN,2513,2015-08-11,2016-04-19,2015-08-11,9.0,,,,,2017-04-06,Retail merchandiser,False,,Intern,Sales,Springline,Finance,Gail Mercado,Anthony Osborn,Remote,"Johnview, WA"
1012,Jesse Campbell,T,Hispanic,Non-Binary,New Craigton,FL,Springline,9197,2020-10-28,2021-03-17,2020-10-28,4.0,2021-07-02,Retired,TRC689,Involuntary,2021-03-27,Secretary/administrator,False,,Intern,Engineering,Springline,Audit,David Shaw,Steven Garcia,Headquarters,"New Craigton, FL"
1013,Kelsey Carter,A,Black,Non-Binary,Nicoletown,CA,MKN,2179,2016-07-18,2017-04-06,2016-07-18,8.0,,,,,2018-04-06,"Scientist, research (maths)",False,Provide sound practice concern.,Part-Time,Profesional,Springline,Audit,Ashley Ramirez,Jason Khan,Regional Office,"Nicoletown, CA"
1014,Chelsea Brown,T,White,Female,Brianland,CA,MKN,5257,2016-08-11,2017-04-01,2016-08-11,8.0,2018-06-20,Retired,TRC605,Involuntary,2017-12-01,"Runner, broadcasting/film/video",False,,Part-Time,Sales,Springline,Sales Dept,Cheryl Johnson,Alex Harrison,Regional Office,"Brianland, CA"
1015,Brian Moyer,T,White,Non-Binary,Port Annview,TX,Springline,5335,2017-07-11,2017-09-01,2017-07-11,7.0,2020-02-05,Laid Off,TRC634,Transfer,2018-04-13,Furniture designer,False,Believe water report sit administration.,Part-Time,Engineering,Springline,Product Dept,Carlos Zhang,Mr. Joshua Hanson,Remote,"Port Annview, TX"
1016,Jonathan Haney,A,Hispanic,Male,Scotthaven,FL,MKN,6301,2024-04-21,2025-02-02,2024-04-21,0.0,,,,,2025-05-01,Armed forces logistics/support/administrative officer,False,Site not indeed kitchen take ready career.,Part-Time,Product,Springline,Audit,Tara Mueller,Tammy Scott,Remote,"Scotthaven, FL"
1017,Kent Riley,T,Black,Male,Bradfordmouth,WA,MKN,6846,2024-06-02,2025-02-24,2024-06-02,0.0,2025-02-19,Laid Off,TRC663,Voluntary,2025-02-19,Accounting technician,False,Plant increase nothing Congress officer relationship human rest.,Intern,Engineering,Springline,Product Dept,Daniel Morgan,Kristine Zamora,Headquarters,"Bradfordmouth, WA"
